Tidspunkt;Vannføring (m³/s)
2011-03-07 11:00:00Z;0.2927693
2011-03-08 11:00:00Z;0.6997756
2011-03-09 11:00:00Z;0.6870158
2011-03-10 11:00:00Z;0.580164
2011-03-11 11:00:00Z;0.5097665
2011-03-12 11:00:00Z;0.4393683
2011-03-13 11:00:00Z;0.3849207
2011-03-14 11:00:00Z;0.330473
2011-03-15 11:00:00Z;0.2760252
2011-03-16 11:00:00Z;0.2451672
2011-03-17 11:00:00Z;0.2143092
2011-03-18 11:00:00Z;0.1834504
2011-03-19 11:00:00Z;0.1525923
2011-03-20 11:00:00Z;0.1543954
2011-03-21 11:00:00Z;0.2153606
2011-03-22 11:00:00Z;0.3068458
2011-03-23 11:00:00Z;0.2520135
2011-03-24 11:00:00Z;0.2226144
2011-03-25 11:00:00Z;0.2129014
2011-03-26 11:00:00Z;0.2095961
2011-03-27 11:00:00Z;0.2060099
2011-03-28 11:00:00Z;0.2048655
2011-03-29 11:00:00Z;0.1719802
2011-03-30 11:00:00Z;0.1555505
2011-03-31 11:00:00Z;0.1391208
2011-04-01 11:00:00Z;0.1761008
2011-04-02 11:00:00Z;0.2534761
2011-04-03 11:00:00Z;0.9244377
2011-04-04 11:00:00Z;1.332548
2011-04-05 11:00:00Z;1.266317
2011-04-06 11:00:00Z;1.035311
2011-04-07 11:00:00Z;1.003292
2011-04-08 11:00:00Z;0.9196671
2011-04-09 11:00:00Z;0.8072832
2011-04-10 11:00:00Z;0.6895268
2011-04-11 11:00:00Z;0.746497
2011-04-12 11:00:00Z;0.9881381
2011-04-13 11:00:00Z;1.184526
2011-04-14 11:00:00Z;1.178819
2011-04-15 11:00:00Z;1.770537
2011-04-16 11:00:00Z;2.424924
2011-04-17 11:00:00Z;1.857629
2011-04-18 11:00:00Z;1.431022
2011-04-19 11:00:00Z;1.035769
2011-04-20 11:00:00Z;0.9845529
2011-04-21 11:00:00Z;0.913901
2011-04-22 11:00:00Z;0.8480223
2011-04-23 11:00:00Z;0.7878802
2011-04-24 11:00:00Z;0.7753385
2011-04-25 11:00:00Z;1.115825
2011-04-26 11:00:00Z;1.708011
2011-04-27 11:00:00Z;1.710351
2011-04-28 11:00:00Z;1.450405
2011-04-29 11:00:00Z;1.2208
2011-04-30 11:00:00Z;1.04531
2011-05-01 11:00:00Z;0.8927101
2011-05-02 11:00:00Z;0.7629999
2011-05-03 11:00:00Z;0.7226343
2011-05-04 11:00:00Z;0.6822685
2011-05-05 11:00:00Z;0.6436197
2011-05-06 11:00:00Z;0.6049705
2011-05-07 11:00:00Z;0.5686104
2011-05-08 11:00:00Z;0.5322503
2011-05-09 11:00:00Z;0.7389469
2011-05-10 11:00:00Z;1.147114
2011-05-11 11:00:00Z;1.229657
2011-05-12 11:00:00Z;1.265473
2011-05-13 11:00:00Z;1.30692
2011-05-14 11:00:00Z;1.240482
2011-05-15 11:00:00Z;1.16842
2011-05-16 11:00:00Z;1.113607
2011-05-17 11:00:00Z;1.197125
2011-05-18 11:00:00Z;1.184036
2011-05-19 11:00:00Z;1.160973
2011-05-20 11:00:00Z;1.923141
2011-05-21 11:00:00Z;2.530428
2011-05-22 11:00:00Z;2.731538
2011-05-23 11:00:00Z;2.627051
2011-05-24 11:00:00Z;2.950502
2011-05-25 11:00:00Z;3.248067
2011-05-26 11:00:00Z;3.312253
2011-05-27 11:00:00Z;2.12844
2011-05-28 11:00:00Z;1.548099
2011-05-29 11:00:00Z;1.382415
2011-05-30 11:00:00Z;2.084641
2011-05-31 11:00:00Z;3.724049
2011-06-01 11:00:00Z;3.460536
2011-06-02 11:00:00Z;3.217793
2011-06-03 11:00:00Z;4.23211
2011-06-04 11:00:00Z;5.850593
2011-06-05 11:00:00Z;4.106542
2011-06-06 11:00:00Z;2.899147
2011-06-07 11:00:00Z;2.717121
2011-06-08 11:00:00Z;2.596874
2011-06-09 11:00:00Z;2.591146
2011-06-10 11:00:00Z;2.878529
2011-06-11 11:00:00Z;2.821076
2011-06-12 11:00:00Z;2.718094
2011-06-13 11:00:00Z;2.438341
2011-06-14 11:00:00Z;2.001101
2011-06-15 11:00:00Z;1.628818
2011-06-16 11:00:00Z;1.433706
2011-06-17 11:00:00Z;1.30179
2011-06-18 11:00:00Z;1.222355
2011-06-19 11:00:00Z;1.158228
2011-06-20 11:00:00Z;1.12504
2011-06-21 11:00:00Z;1.458698
2011-06-22 11:00:00Z;2.12996
2011-06-23 11:00:00Z;2.436257
2011-06-24 11:00:00Z;1.869626
2011-06-25 11:00:00Z;1.439981
2011-06-26 11:00:00Z;1.198438
2011-06-27 11:00:00Z;1.048655
2011-06-28 11:00:00Z;0.9497878
2011-06-29 11:00:00Z;1.6652
2011-06-30 11:00:00Z;1.566363
2011-07-01 11:00:00Z;1.334796
2011-07-02 11:00:00Z;1.057752
2011-07-03 11:00:00Z;0.8726235
2011-07-04 11:00:00Z;0.7601278
2011-07-05 11:00:00Z;0.6771511
2011-07-06 11:00:00Z;0.6189251
2011-07-07 11:00:00Z;0.5692905
2011-07-08 11:00:00Z;0.5627872
2011-07-09 11:00:00Z;0.645773
2011-07-10 11:00:00Z;0.7555271
2011-07-11 11:00:00Z;1.00706
2011-07-12 11:00:00Z;0.9860448
2011-07-13 11:00:00Z;1.116302
2011-07-14 11:00:00Z;1.372757
2011-07-15 11:00:00Z;1.228993
2011-07-16 11:00:00Z;0.9255967
2011-07-17 11:00:00Z;0.7148599
2011-07-18 11:00:00Z;0.5847239
2011-07-19 11:00:00Z;0.7556579
2011-07-20 11:00:00Z;0.7997104
2011-07-21 11:00:00Z;0.7675163
2011-07-22 11:00:00Z;0.6512585
2011-07-23 11:00:00Z;0.5547357
2011-07-24 11:00:00Z;0.5710084
2011-07-25 11:00:00Z;0.8726223
2011-07-26 11:00:00Z;0.9634743
2011-07-27 11:00:00Z;0.7778656
2011-07-28 11:00:00Z;0.6325816
2011-07-29 11:00:00Z;0.5178376
2011-07-30 11:00:00Z;0.4464168
2011-07-31 11:00:00Z;0.4044046
2011-08-01 11:00:00Z;0.3678254
2011-08-02 11:00:00Z;0.3461099
2011-08-03 11:00:00Z;0.3143963
2011-08-04 11:00:00Z;0.2796862
2011-08-05 11:00:00Z;0.2424644
2011-08-06 11:00:00Z;0.2063521
2011-08-07 11:00:00Z;0.1805984
2011-08-08 11:00:00Z;0.1624396
2011-08-09 11:00:00Z;0.1450966
2011-08-10 11:00:00Z;0.1308839
2011-08-11 11:00:00Z;0.1280932
2011-08-12 11:00:00Z;0.2348819
2011-08-13 11:00:00Z;0.5635834
2011-08-14 11:00:00Z;0.4967398
2011-08-15 11:00:00Z;0.408194
2011-08-16 11:00:00Z;0.3429711
2011-08-17 11:00:00Z;0.3041823
2011-08-18 11:00:00Z;0.2721156
2011-08-19 11:00:00Z;0.2813096
2011-08-20 11:00:00Z;0.2681293
2011-08-21 11:00:00Z;0.2371219
2011-08-22 11:00:00Z;0.2171901
2011-08-23 11:00:00Z;0.2361495
2011-08-24 11:00:00Z;0.2493955
2011-08-25 11:00:00Z;0.2258057
2011-08-26 11:00:00Z;0.2153295
2011-08-27 11:00:00Z;0.2081046
2011-08-28 11:00:00Z;0.1979028
2011-08-29 11:00:00Z;0.4013085
2011-08-30 11:00:00Z;0.6325816
2011-08-31 11:00:00Z;0.5211213
2011-09-01 11:00:00Z;0.4269986
2011-09-02 11:00:00Z;0.3480909
2011-09-03 11:00:00Z;0.2835903
2011-09-04 11:00:00Z;0.2381712
2011-09-05 11:00:00Z;0.2220209
2011-09-06 11:00:00Z;0.2143306
2011-09-07 11:00:00Z;0.2879323
2011-09-08 11:00:00Z;0.2945469
2011-09-09 11:00:00Z;0.2668602
2011-09-10 11:00:00Z;0.2443592
2011-09-11 11:00:00Z;0.226683
2011-09-12 11:00:00Z;0.2280034
2011-09-13 11:00:00Z;0.4634549
2011-09-14 11:00:00Z;0.4666695
2011-09-15 11:00:00Z;0.5098894
2011-09-16 11:00:00Z;0.5913485
2011-09-17 11:00:00Z;0.4923581
2011-09-18 11:00:00Z;0.3988976
2011-09-19 11:00:00Z;0.3267816
2011-09-20 11:00:00Z;0.2638574
2011-09-21 11:00:00Z;0.2188429
2011-09-22 11:00:00Z;0.1836274
2011-09-23 11:00:00Z;0.1508121
2011-09-24 11:00:00Z;0.1274278
2011-09-25 11:00:00Z;0.1333635
2011-09-26 11:00:00Z;0.2258793
2011-09-27 11:00:00Z;0.4957759
2011-09-28 11:00:00Z;0.5905338
2011-09-29 11:00:00Z;0.7457144
2011-09-30 11:00:00Z;1.011894
2011-10-01 11:00:00Z;0.9284955
2011-10-02 11:00:00Z;1.511332
